# Picco 1, Picco2, Segnale combinato
8.607639327115281276e+02,1.122302726673980260e+03,8.607639327115281276e+02
9.123352535548007154e+02,1.123774807397839822e+03,9.123352535548007154e+02
8.571861432200456647e+02,9.841786347543210240e+02,8.571861432200456647e+02
8.469265389462841540e+02,1.013753803259939104e+03,8.469265389462841540e+02
9.143696470104288210e+02,9.853265939803146694e+02,9.143696470104288210e+02
9.919800424739687514e+02,1.092118171616208656e+03,9.919800424739687514e+02
8.334720548136037905e+02,1.108263211895845870e+03,8.334720548136037905e+02
8.721167113302707321e+02,9.875307770532560880e+02,8.721167113302707321e+02
7.783000044001255446e+02,1.004064899620113465e+03,7.783000044001255446e+02
9.596082639388318967e+02,1.053751867000016773e+03,9.596082639388318967e+02
9.076974684663375683e+02,1.020770851890302652e+03,9.076974684663375683e+02
8.800274805118001495e+02,9.237064380077331407e+02,8.800274805118001495e+02
8.236911819893571192e+02,9.455144303927321516e+02,8.236911819893571192e+02
9.537103557274847390e+02,9.371538597625836928e+02,9.537103557274847390e+02
9.012525678841393528e+02,9.701942249651600605e+02,9.012525678841393528e+02
9.542561316291208868e+02,8.459499761591341667e+02,9.542561316291208868e+02
9.684888186006161277e+02,9.865995623573023749e+02,9.684888186006161277e+02
8.942311915045097521e+02,1.024915309754592727e+03,8.942311915045097521e+02
9.585893818569447831e+02,9.899664736243119023e+02,9.585893818569447831e+02
8.630323580026056334e+02,1.110731875659270372e+03,8.630323580026056334e+02
9.249989761020333390e+02,9.807651523087413352e+02,9.249989761020333390e+02
9.246440247446760168e+02,1.034815006746129711e+03,9.246440247446760168e+02
9.622453616572945521e+02,9.740789944066001453e+02,9.622453616572945521e+02
9.360890214933606330e+02,9.457946107006800958e+02,9.360890214933606330e+02
8.607071568391700112e+02,7.533033591157902720e+02,8.607071568391700112e+02
9.025080580833207478e+02,1.026909102980613397e+03,9.025080580833207478e+02
9.285242641281736269e+02,9.761600529558230619e+02,9.285242641281736269e+02
9.412060598573780226e+02,1.040953508964596494e+03,9.412060598573780226e+02
9.014674166201826893e+02,9.788135047174566807e+02,9.014674166201826893e+02
7.958293417019124263e+02,1.008394070636266974e+03,7.958293417019124263e+02
9.803089999555951408e+02,9.117423705592223087e+02,9.803089999555951408e+02
9.380790316214070117e+02,9.980469726706176061e+02,9.380790316214070117e+02
9.111134206944557263e+02,8.293619559352376882e+02,9.111134206944557263e+02
9.256401292137815062e+02,1.010398620560192967e+03,9.256401292137815062e+02
8.782645102007804780e+02,9.000809073507105040e+02,8.782645102007804780e+02
9.714544149637994224e+02,1.100345384522099494e+03,9.714544149637994224e+02
8.728973296663295969e+02,1.023608914191094527e+03,8.728973296663295969e+02
8.354277582030282474e+02,9.620885602798430227e+02,8.354277582030282474e+02
9.181306750278153004e+02,9.909586960965934850e+02,9.181306750278153004e+02
9.437570922332431564e+02,1.167277568706040711e+03,9.437570922332431564e+02
9.541518567536699038e+02,9.746786401854412816e+02,9.541518567536699038e+02
9.345639920006653938e+02,1.074889763427947173e+03,9.345639920006653938e+02
9.177830820567735373e+02,1.103999287931505933e+03,9.177830820567735373e+02
9.579349546521702905e+02,1.064570480482772155e+03,9.579349546521702905e+02
9.490885167331845196e+02,8.883884826692666365e+02,9.490885167331845196e+02
8.545043970258152513e+02,9.897338497217306212e+02,8.545043970258152513e+02
8.522567299292038570e+02,9.359195792123879301e+02,8.522567299292038570e+02
9.507959733105423084e+02,1.049380084408393714e+03,9.507959733105423084e+02
8.857344761107649447e+02,1.049013004782907956e+03,8.857344761107649447e+02
8.410643856521058979e+02,8.362527428196448227e+02,8.410643856521058979e+02
8.026857245380822405e+02,9.755640425569315539e+02,8.026857245380822405e+02
8.027607234205644318e+02,9.730039565634376686e+02,8.027607234205644318e+02
9.549217150684168018e+02,1.038625153455082682e+03,9.549217150684168018e+02
9.148891068052274704e+02,9.645697293900989280e+02,9.148891068052274704e+02
7.795999208002547221e+02,1.118533207307378234e+03,7.795999208002547221e+02
9.568265234347616115e+02,1.044376568164072978e+03,9.568265234347616115e+02
7.898073816532694309e+02,8.845425397818580677e+02,7.898073816532694309e+02
9.167959574372404177e+02,1.007409926831780922e+03,9.167959574372404177e+02
9.195487083039644176e+02,9.905578946407445073e+02,9.195487083039644176e+02
9.651919031022436002e+02,9.267029027571675215e+02,9.651919031022436002e+02
8.642752548352192434e+02,1.078697079072567703e+03,8.642752548352192434e+02
8.290428078663341012e+02,1.049221149496059525e+03,8.290428078663341012e+02
9.808494125605060390e+02,9.749521559845163665e+02,9.808494125605060390e+02
8.798770933305075914e+02,1.111272003256458675e+03,8.798770933305075914e+02
9.093314710377850361e+02,9.515065628510487841e+02,9.093314710377850361e+02
9.544457705267066103e+02,1.019249865226967017e+03,9.544457705267066103e+02
9.592265574433507709e+02,1.023116345418712285e+03,9.592265574433507709e+02
8.903269965628284126e+02,1.069838545455110079e+03,8.903269965628284126e+02
7.627951601400544632e+02,1.027634350381698596e+03,7.627951601400544632e+02
8.254348518290461243e+02,9.708006822381622669e+02,8.254348518290461243e+02
8.648929639286500333e+02,9.718072408221386240e+02,8.648929639286500333e+02
9.174912583442817322e+02,9.927264674312211810e+02,9.174912583442817322e+02
8.563372964428555179e+02,1.022628007795501617e+03,8.563372964428555179e+02
8.986581965033823280e+02,9.307807188995569732e+02,8.986581965033823280e+02
8.656024813298333811e+02,1.100522969622470555e+03,8.656024813298333811e+02
8.135081686525902569e+02,1.028572882114754520e+03,8.135081686525902569e+02
9.110622396234032294e+02,1.038023462368068522e+03,9.110622396234032294e+02
8.991433102918998657e+02,7.941517440946624902e+02,8.991433102918998657e+02
9.242733299329546526e+02,1.039617800731326270e+03,9.242733299329546526e+02
9.338082035538374157e+02,9.623104533402039351e+02,9.338082035538374157e+02
9.352192315543261429e+02,1.000930002467268082e+03,9.352192315543261429e+02
1.000242369232857072e+03,1.001374681005086359e+03,1.000242369232857072e+03
8.232615301364819516e+02,9.837453723110996862e+02,8.232615301364819516e+02
1.026896937788947980e+03,8.032315408231274887e+02,1.026896937788947980e+03
8.731012625755943191e+02,9.382320548670634253e+02,8.731012625755943191e+02
8.768123594967247527e+02,1.018177200528904336e+03,8.768123594967247527e+02
9.389605040703401073e+02,9.665892698966364378e+02,9.389605040703401073e+02
8.254797678601207735e+02,1.036593188589759620e+03,8.254797678601207735e+02
8.452801673243758387e+02,9.549861895048629776e+02,8.452801673243758387e+02
9.681875134702212335e+02,9.311951954969290455e+02,9.681875134702212335e+02
8.205118846900212475e+02,9.225146873930351603e+02,8.205118846900212475e+02
8.712580020647478705e+02,1.175979031645678106e+03,8.712580020647478705e+02
8.312682906266812779e+02,1.030958983124803808e+03,8.312682906266812779e+02
7.888473617364077199e+02,8.751630373761217925e+02,7.888473617364077199e+02
7.704747054204226515e+02,9.551961420778086449e+02,7.704747054204226515e+02
9.475210879300217357e+02,1.009163312978309818e+03,9.475210879300217357e+02
9.322214197242435603e+02,9.001854405405464377e+02,9.322214197242435603e+02
8.777697054192866517e+02,9.371351427841473196e+02,8.777697054192866517e+02
9.297677283836394508e+02,1.022246442958061948e+03,9.297677283836394508e+02
8.711087422114608216e+02,1.061106837528616779e+03,8.711087422114608216e+02
8.469042146586170929e+02,1.021356496897911711e+03,8.469042146586170929e+02
9.749124566398228353e+02,9.332118749559710977e+02,9.749124566398228353e+02
8.050054121252755976e+02,8.525330614010795216e+02,8.050054121252755976e+02
8.912438605040379116e+02,1.089310473471620753e+03,8.912438605040379116e+02
8.808099149626920052e+02,1.046965270523422987e+03,8.808099149626920052e+02
9.344157314156800567e+02,8.915851489973817934e+02,9.344157314156800567e+02
1.007619374127816968e+03,8.942268769374235262e+02,1.007619374127816968e+03
8.272788505240050654e+02,1.078977922765160884e+03,8.272788505240050654e+02
8.718829085740031815e+02,1.022551311235550088e+03,8.718829085740031815e+02
9.581037633468142758e+02,1.052720494084700931e+03,9.581037633468142758e+02
8.185157928755118064e+02,1.001242498889378226e+03,8.185157928755118064e+02
9.455052041033258092e+02,9.246394070243410397e+02,9.455052041033258092e+02
8.412676107210577356e+02,1.047899337107217434e+03,8.412676107210577356e+02
8.401410764242431242e+02,9.487613343741151084e+02,8.401410764242431242e+02
9.779698292599732667e+02,9.360743554086475342e+02,9.779698292599732667e+02
9.203356140415901336e+02,9.160222001113666010e+02,9.203356140415901336e+02
8.839059289197310818e+02,8.584000139223857104e+02,8.839059289197310818e+02
7.939758193205481120e+02,1.029614540247602235e+03,7.939758193205481120e+02
8.286611099731478589e+02,9.830313454395387680e+02,8.286611099731478589e+02
8.762984118259593060e+02,1.034043598955003290e+03,8.762984118259593060e+02
8.865961680586784723e+02,1.064293182934858578e+03,8.865961680586784723e+02
9.997660277824676314e+02,1.026800460461300418e+03,9.997660277824676314e+02
9.432401116119694962e+02,1.007700337471140188e+03,9.432401116119694962e+02
8.330808177603138347e+02,1.121560437162440849e+03,8.330808177603138347e+02
8.796211562050757493e+02,1.052957628145816443e+03,8.796211562050757493e+02
9.274974642577550412e+02,8.856228701109391750e+02,9.274974642577550412e+02
8.085592874365200942e+02,1.000178093287632009e+03,8.085592874365200942e+02
9.125014987727724929e+02,9.294515644382111077e+02,9.125014987727724929e+02
9.250991620285899444e+02,8.720017517589933504e+02,9.250991620285899444e+02
9.898577653203831233e+02,8.798177763814003356e+02,9.898577653203831233e+02
8.690215000188590011e+02,1.067502286219229518e+03,8.690215000188590011e+02
8.845836099835121331e+02,1.007689585853520839e+03,8.845836099835121331e+02
8.521449129620792746e+02,1.062579285686627372e+03,8.521449129620792746e+02
8.558306579578977562e+02,1.036977271631218400e+03,8.558306579578977562e+02
9.376878696345909248e+02,9.219793057366324547e+02,9.376878696345909248e+02
8.664863775799022960e+02,1.014645901930315745e+03,8.664863775799022960e+02
8.511589427134138077e+02,8.629620145422240967e+02,8.511589427134138077e+02
8.097344645240700629e+02,1.058651968254322128e+03,8.097344645240700629e+02
9.735773852541458382e+02,8.456584658920089623e+02,9.735773852541458382e+02
9.110381962493072479e+02,8.632168675334387444e+02,9.110381962493072479e+02
8.550650588290211545e+02,8.602685639441706371e+02,8.550650588290211545e+02
8.709216028701383721e+02,9.959164232473510765e+02,8.709216028701383721e+02
8.748779264771590078e+02,9.336388281926507489e+02,8.748779264771590078e+02
8.610454961827736042e+02,1.050354562147767865e+03,8.610454961827736042e+02
9.420664327947015408e+02,1.046470059993257337e+03,9.420664327947015408e+02
