Energy  Counts
1.859889e+00 0
2.107247e+00 0
2.354607e+00 0
2.601970e+00 0
2.849335e+00 0
3.096703e+00 0
3.344073e+00 0
3.591446e+00 0
3.838821e+00 0
4.086199e+00 0
4.333579e+00 0
4.580962e+00 0
4.828347e+00 0
5.075735e+00 0
5.323125e+00 0
5.570518e+00 0
5.817913e+00 0
6.065311e+00 0
6.312711e+00 0
6.560114e+00 0
6.807519e+00 0
7.054927e+00 0
7.302337e+00 1
7.549749e+00 0
7.797165e+00 0
8.044582e+00 0
8.292002e+00 0
8.539425e+00 0
8.786850e+00 0
9.034278e+00 0
9.281708e+00 0
9.529140e+00 0
9.776576e+00 0
1.002401e+01 0
1.027145e+01 0
1.051890e+01 0
1.076634e+01 0
1.101379e+01 0
1.126124e+01 0
1.150869e+01 0
1.175615e+01 0
1.200360e+01 0
1.225106e+01 0
1.249853e+01 0
1.274599e+01 0
1.299346e+01 0
1.324093e+01 0
1.348840e+01 0
1.373588e+01 0
1.398335e+01 0
1.423083e+01 0
1.447832e+01 0
1.472580e+01 0
1.497329e+01 0
1.522078e+01 0
1.546827e+01 0
1.571577e+01 0
1.596326e+01 0
1.621076e+01 0
1.645827e+01 0
1.670577e+01 0
1.695328e+01 0
1.720079e+01 0
1.744830e+01 0
1.769581e+01 0
1.794333e+01 0
1.819085e+01 0
1.843837e+01 0
1.868590e+01 0
1.893343e+01 0
1.918096e+01 0
1.942849e+01 0
1.967602e+01 0
1.992356e+01 0
2.017110e+01 0
2.041864e+01 0
2.066619e+01 0
2.091374e+01 0
2.116128e+01 0
2.140884e+01 0
2.165639e+01 0
2.190395e+01 0
2.215151e+01 0
2.239907e+01 0
2.264664e+01 0
2.289420e+01 0
2.314177e+01 0
2.338934e+01 0
2.363692e+01 0
2.388450e+01 0
2.413208e+01 0
2.437966e+01 0
2.462724e+01 0
2.487483e+01 0
2.512242e+01 0
2.537001e+01 0
2.561761e+01 0
2.586520e+01 0
2.611280e+01 0
2.636041e+01 0
2.660801e+01 0
2.685562e+01 0
2.710323e+01 0
2.735084e+01 0
2.759845e+01 0
2.784607e+01 0
2.809369e+01 0
2.834131e+01 0
2.858894e+01 0
2.883656e+01 0
2.908419e+01 0
2.933183e+01 0
2.957946e+01 0
2.982710e+01 0
3.007474e+01 0
3.032238e+01 0
3.057002e+01 0
3.081767e+01 0
3.106532e+01 0
3.131297e+01 0
3.156063e+01 0
3.180828e+01 0
3.205594e+01 0
3.230360e+01 0
3.255127e+01 0
3.279894e+01 0
3.304660e+01 0
3.329428e+01 0
3.354195e+01 0
3.378963e+01 0
3.403731e+01 0
3.428499e+01 0
3.453267e+01 0
3.478036e+01 0
3.502805e+01 0
3.527574e+01 0
3.552344e+01 0
3.577113e+01 0
3.601883e+01 0
3.626653e+01 0
3.651424e+01 0
3.676195e+01 0
3.700965e+01 0
3.725737e+01 0
3.750508e+01 0
