Energy  Counts
4.033850e+00 0
4.275374e+00 0
4.516900e+00 0
4.758426e+00 0
4.999955e+00 0
5.241485e+00 0
5.483016e+00 0
5.724549e+00 0
5.966083e+00 0
6.207618e+00 0
6.449155e+00 0
6.690694e+00 0
6.932233e+00 0
7.173775e+00 0
7.415317e+00 0
7.656862e+00 0
7.898407e+00 0
8.139954e+00 0
8.381503e+00 0
8.623053e+00 0
8.864604e+00 0
9.106157e+00 0
9.347711e+00 0
9.589267e+00 0
9.830824e+00 0
1.007238e+01 0
1.031394e+01 0
1.055550e+01 0
1.079707e+01 0
1.103863e+01 0
1.128020e+01 0
1.152176e+01 0
1.176333e+01 0
1.200490e+01 0
1.224647e+01 0
1.248805e+01 0
1.272962e+01 0
1.297120e+01 0
1.321277e+01 0
1.345435e+01 0
1.369593e+01 0
1.393751e+01 0
1.417910e+01 0
1.442068e+01 0
1.466227e+01 0
1.490385e+01 0
1.514544e+01 0
1.538703e+01 0
1.562863e+01 0
1.587022e+01 0
1.611181e+01 0
1.635341e+01 0
1.659501e+01 0
1.683660e+01 0
1.707821e+01 0
1.731981e+01 0
1.756141e+01 0
1.780301e+01 0
1.804462e+01 0
1.828623e+01 0
1.852784e+01 0
1.876945e+01 0
1.901106e+01 0
1.925267e+01 0
1.949429e+01 0
1.973590e+01 0
1.997752e+01 0
2.021914e+01 0
2.046076e+01 0
2.070238e+01 0
2.094400e+01 0
2.118563e+01 0
2.142725e+01 0
2.166888e+01 0
2.191051e+01 0
2.215214e+01 0
2.239377e+01 0
2.263541e+01 0
2.287704e+01 0
2.311868e+01 0
2.336032e+01 0
2.360195e+01 0
2.384359e+01 0
2.408524e+01 0
2.432688e+01 0
2.456852e+01 0
2.481017e+01 0
2.505182e+01 0
2.529347e+01 0
2.553512e+01 0
2.577677e+01 0
2.601842e+01 0
2.626008e+01 0
2.650173e+01 0
2.674339e+01 0
2.698505e+01 0
2.722671e+01 0
2.746837e+01 0
2.771004e+01 0
2.795170e+01 0
2.819337e+01 0
2.843504e+01 0
2.867671e+01 0
2.891838e+01 0
2.916005e+01 0
2.940172e+01 0
2.964340e+01 0
2.988507e+01 0
3.012675e+01 0
3.036843e+01 0
3.061011e+01 0
3.085179e+01 0
3.109348e+01 0
3.133516e+01 0
3.157685e+01 0
3.181854e+01 0
3.206023e+01 0
3.230192e+01 0
3.254361e+01 0
3.278530e+01 0
3.302700e+01 0
3.326869e+01 0
3.351039e+01 0
3.375209e+01 0
3.399379e+01 0
3.423549e+01 0
3.447720e+01 0
3.471890e+01 0
3.496061e+01 0
3.520232e+01 0
3.544403e+01 0
3.568574e+01 0
3.592745e+01 0
3.616916e+01 0
3.641088e+01 0
3.665260e+01 0
3.689431e+01 0
3.713603e+01 0
3.737775e+01 0
3.761948e+01 0
3.786120e+01 0
3.810293e+01 0
3.834465e+01 0
3.858638e+01 0
3.882811e+01 0
3.906984e+01 0
3.931157e+01 0
3.955331e+01 0
3.979504e+01 0
4.003678e+01 0
4.027852e+01 0
4.052026e+01 0
4.076200e+01 0
4.100374e+01 0
4.124548e+01 0
4.148723e+01 0
4.172898e+01 0
4.197072e+01 0
4.221247e+01 0
4.245423e+01 0
4.269598e+01 0
4.293773e+01 0
4.317949e+01 0
4.342124e+01 0
4.366300e+01 0
4.390476e+01 0
4.414652e+01 0
4.438829e+01 0
4.463005e+01 0
4.487182e+01 0
4.511358e+01 0
4.535535e+01 0
4.559712e+01 0
4.583889e+01 0
4.608066e+01 0
4.632244e+01 0
4.656421e+01 0
4.680599e+01 0
4.704777e+01 0
4.728955e+01 0
4.753133e+01 0
4.777311e+01 0
4.801490e+01 0
4.825668e+01 0
4.849847e+01 0
4.874026e+01 0
4.898205e+01 0
4.922384e+01 0
4.946563e+01 0
4.970743e+01 0
4.994922e+01 0
5.019102e+01 0
