# Picco 1, Picco2, Segnale combinato
6.713622298464456435e+02,1.197826760522048971e+03,6.713622298464456435e+02
5.410235356544035312e-02,1.277150409597025828e+03,5.410235356544035312e-02
nan,nan,nan
nan,1.265870462497280187e+03,nan
nan,nan,nan
nan,nan,nan
nan,1.281710677687196494e+03,nan
nan,6.415991058286688258e+02,nan
6.085674689805948674e+02,1.031176694142440056e+03,6.085674689805948674e+02
1.085707179003368083e+03,7.896193215382282915e+02,1.085707179003368083e+03
1.044769308649298182e+03,6.798435480745703217e+02,1.044769308649298182e+03
1.132844823828031622e+02,5.008692338512314564e+02,1.132844823828031622e+02
nan,4.291938318082934529e+02,nan
5.059728757514817516e+02,3.515766562367147117e+02,5.059728757514817516e+02
7.035671726757664146e+01,nan,7.035671726757664146e+01
1.095836297776123047e+03,7.210446841043309405e+02,1.095836297776123047e+03
7.704662691554940466e+02,1.171885047063103684e+02,7.704662691554940466e+02
1.148786033827899473e+03,1.159170436125313017e+03,1.148786033827899473e+03
6.291978342914602536e+02,nan,6.291978342914602536e+02
nan,1.355293221527433616e+02,nan
2.108122949234120824e+02,1.068267820140958975e+03,2.108122949234120824e+02
1.152576531422977268e+03,nan,1.152576531422977268e+03
2.376973994943276693e+02,1.254464525142697312e+03,2.376973994943276693e+02
3.372618791006062793e+02,1.296299879396665347e+02,3.372618791006062793e+02
nan,1.028340278670034422e+02,nan
7.654125963246876836e+02,2.328797298100689659e+02,7.654125963246876836e+02
nan,nan,nan
nan,1.249529103806483363e+03,nan
1.063738875377907107e+03,1.310511800059519146e+03,1.063738875377907107e+03
8.600036776819238185e+02,1.259112214995177055e+03,8.600036776819238185e+02
8.825858110933147600e+02,3.600309057697265871e+02,8.825858110933147600e+02
1.485956794768460441e+02,nan,1.485956794768460441e+02
9.683743865656924754e+01,1.240348240979785487e+03,9.683743865656924754e+01
2.913326230028814052e+02,nan,2.913326230028814052e+02
1.128041513497533060e+03,6.223140172458897723e+01,1.128041513497533060e+03
7.354273137537919638e+02,1.759064779005003629e+02,7.354273137537919638e+02
1.074768898006298969e+03,1.289816794785717775e+03,1.074768898006298969e+03
2.098409196061004423e+02,9.910998614724796880e+02,2.098409196061004423e+02
6.053758115969485516e+02,1.142039057241079263e+02,6.053758115969485516e+02
3.881723647697480146e+02,1.275487170063006715e+03,3.881723647697480146e+02
1.128824483690430270e+03,1.235259930825808397e+03,1.128824483690430270e+03
6.876257366722911684e+02,9.544769398159719458e+02,6.876257366722911684e+02
1.139170100934098400e+03,nan,1.139170100934098400e+03
nan,1.192506731909886639e+03,nan
6.789906624140152189e+02,5.348197856447649201e+02,6.789906624140152189e+02
6.413456940935990360e+02,9.489453179726081089e+02,6.413456940935990360e+02
3.401810404182015191e-01,nan,3.401810404182015191e-01
7.741771987800279931e+02,6.067434532951665460e-02,7.741771987800279931e+02
7.410248226156336386e+02,nan,7.410248226156336386e+02
1.106196609789030845e+03,6.517664802745935049e+02,1.106196609789030845e+03
1.159595750048139507e+03,5.295843230368421928e+02,1.159595750048139507e+03
5.229546197855386254e+02,nan,5.229546197855386254e+02
nan,1.078726168085906920e+02,nan
1.121134714056238636e+03,1.287324301655710315e+03,1.121134714056238636e+03
1.110014063239540519e+03,nan,1.110014063239540519e+03
3.730444895475334306e+02,6.385394793725254203e+00,3.730444895475334306e+02
nan,6.722996281856726455e+02,nan
4.258409933420514335e+02,2.418982931185610141e+00,4.258409933420514335e+02
9.246610270818312074e+02,8.469303509194287471e+01,9.246610270818312074e+02
5.379843329449613520e+00,nan,5.379843329449613520e+00
1.133803675891407238e+03,1.216804068375144652e+03,1.133803675891407238e+03
nan,nan,nan
2.608653480384986096e+02,7.471776741771820980e+02,2.608653480384986096e+02
1.181380799319640573e+00,2.604469213898842099e+02,1.181380799319640573e+00
1.030549022570079842e+03,6.749536160191610179e+00,1.030549022570079842e+03
nan,nan,nan
1.123677725601547763e+03,1.035259628144641738e+03,1.123677725601547763e+03
nan,nan,nan
1.050961327682286310e+03,nan,1.050961327682286310e+03
9.817170632081542863e+02,nan,9.817170632081542863e+02
nan,nan,nan
nan,2.495678250586490776e+02,nan
1.064974379882012954e+03,nan,1.064974379882012954e+03
5.139924954712114413e+00,1.301832681237950283e+03,5.139924954712114413e+00
4.761397497209268295e+02,8.710895571310920786e+02,4.761397497209268295e+02
5.086648599499554848e+02,2.442752619105154963e+02,5.086648599499554848e+02
4.668258875516085027e+02,nan,4.668258875516085027e+02
1.104287448371038408e+03,1.249251371184412392e+03,1.104287448371038408e+03
1.363207735916869296e+02,6.163432329181979412e+02,1.363207735916869296e+02
1.046331247099602933e+03,1.803027044100451803e+02,1.046331247099602933e+03
2.884766805851085110e+02,2.137620624378896537e+02,2.884766805851085110e+02
2.574901963502891249e+02,9.198481007709913229e+02,2.574901963502891249e+02
