# Picco 1, Picco2, Segnale combinato
8.607639327115281276e+02,2.988647001548144999e+01,8.607639327115281276e+02
9.123352535548007154e+02,nan,9.123352535548007154e+02
8.571861432200456647e+02,1.122302726673980260e+03,8.571861432200456647e+02
8.469265389462841540e+02,1.123774807397839822e+03,8.469265389462841540e+02
9.143696470104288210e+02,9.841786347543210240e+02,9.143696470104288210e+02
9.919800424739687514e+02,2.318459738128287881e+02,9.919800424739687514e+02
8.334720548136037905e+02,1.013753803259939104e+03,8.334720548136037905e+02
8.721167113302707321e+02,9.853265939803146694e+02,8.721167113302707321e+02
7.783000044001255446e+02,2.726852484270777950e+02,7.783000044001255446e+02
9.596082639388318967e+02,1.092118171616208656e+03,9.596082639388318967e+02
9.076974684663375683e+02,1.108263211895845870e+03,9.076974684663375683e+02
8.800274805118001495e+02,9.875307770532560880e+02,8.800274805118001495e+02
8.236911819893571192e+02,1.004064899620113465e+03,8.236911819893571192e+02
9.537103557274847390e+02,4.457929359675279102e+02,9.537103557274847390e+02
9.012525678841393528e+02,1.053751867000016773e+03,9.012525678841393528e+02
3.065572250074184240e+02,1.020770851890302652e+03,3.065572250074184240e+02
9.542561316291208868e+02,1.744916757790625752e+02,9.542561316291208868e+02
5.676474275652251436e+02,nan,5.676474275652251436e+02
6.310809127283558837e+02,9.237064380077331407e+02,6.310809127283558837e+02
9.684888186006161277e+02,5.143643215297174720e+02,9.684888186006161277e+02
8.942311915045097521e+02,nan,8.942311915045097521e+02
9.585893818569447831e+02,1.194288383256474617e+02,9.585893818569447831e+02
nan,9.455144303927321516e+02,nan
8.630323580026056334e+02,4.013180903833202819e+02,8.630323580026056334e+02
9.249989761020333390e+02,9.371538597625836928e+02,9.249989761020333390e+02
9.246440247446760168e+02,4.507487172190893148e+02,9.246440247446760168e+02
1.084717766286884171e+02,5.060857112736068757e+02,1.084717766286884171e+02
9.622453616572945521e+02,9.701942249651600605e+02,9.622453616572945521e+02
9.360890214933606330e+02,8.459499761591341667e+02,9.360890214933606330e+02
1.616405211203160661e+02,9.865995623573023749e+02,1.616405211203160661e+02
1.685693138151890480e+02,1.024915309754592727e+03,1.685693138151890480e+02
3.781755194304907945e+02,9.899664736243119023e+02,3.781755194304907945e+02
8.607071568391700112e+02,1.110731875659270372e+03,8.607071568391700112e+02
9.025080580833207478e+02,9.807651523087413352e+02,9.025080580833207478e+02
nan,5.631832219838054243e+01,nan
9.285242641281736269e+02,6.610596059446345407e+02,9.285242641281736269e+02
9.412060598573780226e+02,1.034815006746129711e+03,9.412060598573780226e+02
5.921066216829960922e+02,9.740789944066001453e+02,5.921066216829960922e+02
9.014674166201826893e+02,5.402433245158661066e+02,9.014674166201826893e+02
7.958293417019124263e+02,9.457946107006800958e+02,7.958293417019124263e+02
9.803089999555951408e+02,7.533033591157902720e+02,9.803089999555951408e+02
nan,1.026909102980613397e+03,nan
9.380790316214070117e+02,9.761600529558230619e+02,9.380790316214070117e+02
9.111134206944557263e+02,3.457968115651992775e+02,9.111134206944557263e+02
9.256401292137815062e+02,nan,9.256401292137815062e+02
8.782645102007804780e+02,1.040953508964596494e+03,8.782645102007804780e+02
9.714544149637994224e+02,9.788135047174566807e+02,9.714544149637994224e+02
8.728973296663295969e+02,1.008394070636266974e+03,8.728973296663295969e+02
8.354277582030282474e+02,6.169338909173077354e+02,8.354277582030282474e+02
nan,4.656233566724332604e+02,nan
9.181306750278153004e+02,7.080173798263456320e+02,9.181306750278153004e+02
5.735312987655123607e+02,6.162756884982115935e+02,5.735312987655123607e+02
9.437570922332431564e+02,nan,9.437570922332431564e+02
5.612907860522282135e+02,1.339773250382913830e+02,5.612907860522282135e+02
9.541518567536699038e+02,9.117423705592223087e+02,9.541518567536699038e+02
1.945762054557371812e+02,9.980469726706176061e+02,1.945762054557371812e+02
5.927426273028083870e+01,8.293619559352376882e+02,5.927426273028083870e+01
9.345639920006653938e+02,1.010398620560192967e+03,9.345639920006653938e+02
5.965153995942191614e+02,9.000809073507105040e+02,5.965153995942191614e+02
4.506260190592951176e+02,nan,4.506260190592951176e+02
9.177830820567735373e+02,1.100345384522099494e+03,9.177830820567735373e+02
7.231117037435308248e+02,1.023608914191094527e+03,7.231117037435308248e+02
9.579349546521702905e+02,5.226441228896981102e+02,9.579349546521702905e+02
9.490885167331845196e+02,3.479877594932645479e+01,9.490885167331845196e+02
8.545043970258152513e+02,9.620885602798430227e+02,8.545043970258152513e+02
8.522567299292038570e+02,nan,8.522567299292038570e+02
9.507959733105423084e+02,9.909586960965934850e+02,9.507959733105423084e+02
8.857344761107649447e+02,1.167277568706040711e+03,8.857344761107649447e+02
nan,9.746786401854412816e+02,nan
4.636895265099182666e+02,4.730692764326655606e+02,4.636895265099182666e+02
3.976146764965663465e+02,3.966589960176780778e+02,3.976146764965663465e+02
1.543622098516303822e+02,nan,1.543622098516303822e+02
2.602276696752961698e+02,1.074889763427947173e+03,2.602276696752961698e+02
5.623470363975502551e+01,nan,5.623470363975502551e+01
1.097285018875268179e+02,nan,1.097285018875268179e+02
8.410643856521058979e+02,1.103999287931505933e+03,8.410643856521058979e+02
8.026857245380822405e+02,nan,8.026857245380822405e+02
8.027607234205644318e+02,nan,8.027607234205644318e+02
2.887606766265453189e+02,1.064570480482772155e+03,2.887606766265453189e+02
6.655969341408829223e+02,8.883884826692666365e+02,6.655969341408829223e+02
2.810720198701668551e+02,9.897338497217306212e+02,2.810720198701668551e+02
9.549217150684168018e+02,9.359195792123879301e+02,9.549217150684168018e+02
1.183210858247059605e+01,1.049380084408393714e+03,1.183210858247059605e+01
4.956130683783962354e+02,1.049013004782907956e+03,4.956130683783962354e+02
9.148891068052274704e+02,nan,9.148891068052274704e+02
7.795999208002547221e+02,8.362527428196448227e+02,7.795999208002547221e+02
1.628386593592057352e+02,5.692986115176710200e+02,1.628386593592057352e+02
9.568265234347616115e+02,9.755640425569315539e+02,9.568265234347616115e+02
7.898073816532694309e+02,6.621886776084363646e+01,7.898073816532694309e+02
1.806099587382618665e+00,9.730039565634376686e+02,1.806099587382618665e+00
9.167959574372404177e+02,1.038625153455082682e+03,9.167959574372404177e+02
2.134877142559430467e+02,9.645697293900989280e+02,2.134877142559430467e+02
4.487541503618006686e+02,1.118533207307378234e+03,4.487541503618006686e+02
9.195487083039644176e+02,1.044376568164072978e+03,9.195487083039644176e+02
9.651919031022436002e+02,9.308566967984006624e-01,9.651919031022436002e+02
6.343830409906597652e+02,8.845425397818580677e+02,6.343830409906597652e+02
4.845940786370268825e+02,1.586497457351697449e+00,4.845940786370268825e+02
8.642752548352192434e+02,1.007409926831780922e+03,8.642752548352192434e+02
