# Picco 1, Picco2, Segnale combinato
9.098445058217010910e+02,1.138612127955944743e+03,9.098445058217010910e+02
9.943474963907971187e+02,1.076618690023679392e+03,9.943474963907971187e+02
9.463049513077270376e+02,1.019769807665325516e+03,9.463049513077270376e+02
9.476457532671453237e+02,1.122922209034852585e+03,9.476457532671453237e+02
9.558369106604011449e+02,1.127837403230966174e+03,9.558369106604011449e+02
9.818298133235736032e+02,1.019616973242319773e+03,9.818298133235736032e+02
9.744521973402252115e+02,1.038595481845164386e+03,9.744521973402252115e+02
1.017584739434832386e+03,1.227969760277725300e+03,1.017584739434832386e+03
9.067404673608531311e+02,1.101312791386591243e+03,9.067404673608531311e+02
9.643171562175117515e+02,1.139574444478012765e+03,9.643171562175117515e+02
9.315094460498614808e+02,1.095622206626315119e+03,9.315094460498614808e+02
9.677700216415385057e+02,1.030564671177303808e+03,9.677700216415385057e+02
1.015333829025985779e+03,1.067025973334558330e+03,1.015333829025985779e+03
9.293311254608668150e+02,1.044611259423289766e+03,9.293311254608668150e+02
1.055596851623507746e+03,1.016693112724041612e+03,1.055596851623507746e+03
9.162912581591408525e+02,1.003436286789609426e+03,9.162912581591408525e+02
1.056462618915959865e+03,1.137736135556214322e+03,1.056462618915959865e+03
9.147113681026590939e+02,1.146722447445517673e+03,9.147113681026590939e+02
9.835764807329760515e+02,1.176655192026967143e+03,9.835764807329760515e+02
9.795779990464800449e+02,1.085835917507754857e+03,9.795779990464800449e+02
9.520687676112518147e+02,1.130698451964332662e+03,9.520687676112518147e+02
8.874444908064941728e+02,9.585430309393933612e+02,8.874444908064941728e+02
1.005270604523757470e+03,1.065246220046919007e+03,1.005270604523757470e+03
1.082089951950744307e+03,1.045991894446416836e+03,1.082089951950744307e+03
1.011858243879126121e+03,1.122927064828649236e+03,1.011858243879126121e+03
8.592872667822592803e+02,9.779671495647637585e+02,8.592872667822592803e+02
1.030124436535232007e+03,9.083467152921416528e+02,1.030124436535232007e+03
9.551784619640877736e+02,9.719824408238521301e+02,9.551784619640877736e+02
9.376158664429642613e+02,1.127993314874469888e+03,9.376158664429642613e+02
9.436612758121590332e+02,1.066743640104220276e+03,9.436612758121590332e+02
9.294755493134068729e+02,9.305819973839159047e+02,9.294755493134068729e+02
8.949437194347946161e+02,1.130381520076369270e+03,8.949437194347946161e+02
1.008799920828829158e+03,1.077979917040106784e+03,1.008799920828829158e+03
1.054498222364741196e+03,9.881794903318135539e+02,1.054498222364741196e+03
9.865884902891665433e+02,1.066107505075532117e+03,9.865884902891665433e+02
1.020179268044546120e+03,9.500123210452346711e+02,1.020179268044546120e+03
1.060508706617966936e+03,1.107994501232908988e+03,1.060508706617966936e+03
9.192461386096684919e+02,1.089975094661192088e+03,9.192461386096684919e+02
1.078611483072491410e+03,1.130048351220105360e+03,1.078611483072491410e+03
9.478170076536171109e+02,1.113843678859567035e+03,9.478170076536171109e+02
9.137724582938072899e+02,9.811826331055830224e+02,9.137724582938072899e+02
9.648755782833312651e+02,1.081826321194576849e+03,9.648755782833312651e+02
9.984664031402196542e+02,9.698039333726558198e+02,9.984664031402196542e+02
9.469081770562012252e+02,1.159049728852263570e+03,9.469081770562012252e+02
9.927427839338440663e+02,1.082849930227371033e+03,9.927427839338440663e+02
1.040363176782373557e+03,1.097764475118921837e+03,1.040363176782373557e+03
9.676572467379669433e+02,9.756673860798863416e+02,9.676572467379669433e+02
9.974994574191485981e+02,1.069006032239041815e+03,9.974994574191485981e+02
9.881727980390788844e+02,1.172865897387838004e+03,9.881727980390788844e+02
1.036051361968101901e+03,1.045533971934301690e+03,1.036051361968101901e+03
9.756057840020528147e+02,1.102892572899537527e+03,9.756057840020528147e+02
9.633759158966236100e+02,1.125464907561772407e+03,9.633759158966236100e+02
9.424262406869295319e+02,1.088298017254264778e+03,9.424262406869295319e+02
9.074348123614970518e+02,1.105262095066830170e+03,9.074348123614970518e+02
1.009474908033477618e+03,1.053747676162832249e+03,1.009474908033477618e+03
9.959032660756676023e+02,1.138570584730814062e+03,9.959032660756676023e+02
1.029772686071989483e+03,1.168509235200043804e+03,1.029772686071989483e+03
1.022163039856458568e+03,1.137177687328325419e+03,1.022163039856458568e+03
1.107701775306143418e+03,1.030488722526139100e+03,1.107701775306143418e+03
1.078426540039611382e+03,1.161314348425303251e+03,1.078426540039611382e+03
9.156289437122065920e+02,1.141697408051112006e+03,9.156289437122065920e+02
9.213967428524694014e+02,1.076059875969660879e+03,9.213967428524694014e+02
9.493405329699197637e+02,1.035980093655909059e+03,9.493405329699197637e+02
9.175767138714596740e+02,1.142173148786859883e+03,9.175767138714596740e+02
1.014338411305118825e+03,1.178894210702930195e+03,1.014338411305118825e+03
9.984580485820760032e+02,1.061231690961392133e+03,9.984580485820760032e+02
1.078618821692618894e+03,1.141867126657299877e+03,1.078618821692618894e+03
8.725695521249836020e+02,1.094151314399954572e+03,8.725695521249836020e+02
9.154113194215784688e+02,1.191026570354462137e+03,9.154113194215784688e+02
9.472319087122593828e+02,1.028168649428966546e+03,9.472319087122593828e+02
1.022534511468380288e+03,1.019716046751503654e+03,1.022534511468380288e+03
9.591813591580280445e+02,1.064625449561717687e+03,9.591813591580280445e+02
9.213803533310335752e+02,1.104893103262277464e+03,9.213803533310335752e+02
9.579148229326946193e+02,1.071794686524743838e+03,9.579148229326946193e+02
9.250854038286752257e+02,1.105714490964840252e+03,9.250854038286752257e+02
9.257382604499915715e+02,1.171357347475471215e+03,9.257382604499915715e+02
8.926108927355819560e+02,1.044935839676087198e+03,8.926108927355819560e+02
9.300904749395513136e+02,1.086193080646193948e+03,9.300904749395513136e+02
