# Picco 1, Picco2, Segnale combinato
7.687593759024322253e+02,8.793721531220166980e+02,7.687593759024322253e+02
8.070223040605926599e+02,8.767781433459188065e+02,8.070223040605926599e+02
8.304487190108197865e+02,9.166615787305447611e+02,8.304487190108197865e+02
9.180893025169716566e+02,9.606309456338663040e+02,9.180893025169716566e+02
9.614765690257497681e+02,8.896704017660732688e+02,9.614765690257497681e+02
9.178870440649970988e+02,8.703774146627698656e+02,9.178870440649970988e+02
9.243345254063390257e+02,9.724720410830522042e+02,9.243345254063390257e+02
8.854293528759829996e+02,9.694481677757530633e+02,8.854293528759829996e+02
8.797325312240509447e+02,1.030002522857572785e+03,8.797325312240509447e+02
7.651745454982979027e+02,9.006721418796810212e+02,7.651745454982979027e+02
7.552847105126086262e+02,8.821563100593357376e+02,7.552847105126086262e+02
7.805798575402363895e+02,9.874534785009220741e+02,7.805798575402363895e+02
9.095820115010611744e+02,1.059047337702423647e+03,9.095820115010611744e+02
7.979472774499996603e+02,7.982887722399199220e+02,7.979472774499996603e+02
9.118669609941993031e+02,8.991359305743867480e+02,9.118669609941993031e+02
7.663564065999629520e+02,8.122369219099539350e+02,7.663564065999629520e+02
7.704132349507638082e+02,8.780723251178569626e+02,7.704132349507638082e+02
8.452748772353195363e+02,9.274284670180954890e+02,8.452748772353195363e+02
7.602773678420555825e+02,9.004929734946397275e+02,7.602773678420555825e+02
8.277194661575638293e+02,8.382432074028610032e+02,8.277194661575638293e+02
8.791965591049842033e+02,9.397387862353939454e+02,8.791965591049842033e+02
8.324642116770141911e+02,8.516093642045034358e+02,8.324642116770141911e+02
7.672319087267504756e+02,7.907064908764737083e+02,7.672319087267504756e+02
7.970730340565835377e+02,8.729115640902059567e+02,7.970730340565835377e+02
7.546024657559690922e+02,1.033522849346011981e+03,7.546024657559690922e+02
8.022668591587236051e+02,9.649879589302084923e+02,8.022668591587236051e+02
7.334283807574190632e+02,9.779800132230202507e+02,7.334283807574190632e+02
8.308354777791479364e+02,8.372995295891585101e+02,8.308354777791479364e+02
7.440224154092491062e+02,9.420395034284969142e+02,7.440224154092491062e+02
8.244329044687053738e+02,9.260829935464322489e+02,8.244329044687053738e+02
7.608126084767221755e+02,8.915757073148371319e+02,7.608126084767221755e+02
9.104974867555547462e+02,9.846543373446970691e+02,9.104974867555547462e+02
8.258020105070726231e+02,8.411765981153522489e+02,8.258020105070726231e+02
8.005738401712651466e+02,9.625315300890317758e+02,8.005738401712651466e+02
8.127704718089448761e+02,9.079645914817571111e+02,8.127704718089448761e+02
8.263820030258106044e+02,9.369373814571184766e+02,8.263820030258106044e+02
7.294206224022717606e+02,9.062245132602936337e+02,7.294206224022717606e+02
7.657724189301547995e+02,1.038005068279544503e+03,7.657724189301547995e+02
7.855782893213945499e+02,8.387324595440375106e+02,7.855782893213945499e+02
7.963923988268488756e+02,9.085381343699847321e+02,7.963923988268488756e+02
9.015922651949983901e+02,9.234552790493517023e+02,9.015922651949983901e+02
8.137132887622884709e+02,9.114074777067726245e+02,8.137132887622884709e+02
7.187711708445060594e+02,9.694768760663838520e+02,7.187711708445060594e+02
8.451401574538248269e+02,8.501023790672957148e+02,8.451401574538248269e+02
7.785579937764242686e+02,8.960113524604732902e+02,7.785579937764242686e+02
8.475183033613366206e+02,7.859096214553956088e+02,8.475183033613366206e+02
8.841928975595915290e+02,9.257205831610252744e+02,8.841928975595915290e+02
7.800896672207193205e+02,8.968904324770643370e+02,7.800896672207193205e+02
8.942565046605913039e+02,7.599908721697998999e+02,8.942565046605913039e+02
7.822830511201103718e+02,7.553390605462377607e+02,7.822830511201103718e+02
7.373371374994936787e+02,7.739218041040617209e+02,7.373371374994936787e+02
8.924778465960100675e+02,9.353112788823938217e+02,8.924778465960100675e+02
8.284031614769496628e+02,1.021040746190653181e+03,8.284031614769496628e+02
8.683059866313635666e+02,8.354943615898548614e+02,8.683059866313635666e+02
7.527332576577978216e+02,8.016073630272074979e+02,7.527332576577978216e+02
8.808871897684715577e+02,9.905580157368715390e+02,8.808871897684715577e+02
7.941929626654546155e+02,9.724808390269276970e+02,7.941929626654546155e+02
8.253350929763425938e+02,8.522561420642100529e+02,8.253350929763425938e+02
9.243221812428100748e+02,8.440853907385816228e+02,9.243221812428100748e+02
7.247207865443738228e+02,9.334622658735672758e+02,7.247207865443738228e+02
7.558886483906692320e+02,1.037104433861427651e+03,7.558886483906692320e+02
8.382290085193039886e+02,8.191094107372726967e+02,8.382290085193039886e+02
8.037733388365136307e+02,1.006345070349946127e+03,8.037733388365136307e+02
8.532740130770994256e+02,9.192568484199664454e+02,8.532740130770994256e+02
8.267662675343460705e+02,8.963387850445293452e+02,8.267662675343460705e+02
8.381009787098727202e+02,7.517648939801943015e+02,8.381009787098727202e+02
7.985388161771717250e+02,9.812840679895815583e+02,7.985388161771717250e+02
7.831337229723757218e+02,8.841884835810670893e+02,7.831337229723757218e+02
8.290928593487458329e+02,7.919523229770570651e+02,8.290928593487458329e+02
8.082454479717488312e+02,8.721952922376201514e+02,8.082454479717488312e+02
7.536035488737221613e+02,8.642184260127984317e+02,7.536035488737221613e+02
8.317124100805833677e+02,8.730476061925971862e+02,8.317124100805833677e+02
7.903383012610302103e+02,9.433897186627774545e+02,7.903383012610302103e+02
8.210446274504394069e+02,8.183685006206031858e+02,8.210446274504394069e+02
7.192776115772844605e+02,1.014439541162940714e+03,7.192776115772844605e+02
9.033667323808722358e+02,8.615570771397938188e+02,9.033667323808722358e+02
8.127436184217831396e+02,1.011932085136342721e+03,8.127436184217831396e+02
9.161198944865960812e+02,9.190983883937495875e+02,9.161198944865960812e+02
7.354316838682522075e+02,9.081337903990897757e+02,7.354316838682522075e+02
7.663263005581720790e+02,8.837282873144172299e+02,7.663263005581720790e+02
8.350624602395860165e+02,8.856894241089213438e+02,8.350624602395860165e+02
8.160878021987916782e+02,1.011834271842401449e+03,8.160878021987916782e+02
7.935956135936371538e+02,8.883565318931375714e+02,7.935956135936371538e+02
9.021799048305442739e+02,8.479413496302390740e+02,9.021799048305442739e+02
7.136896256627115918e+02,9.681634868166308934e+02,7.136896256627115918e+02
7.955856616116227542e+02,9.133917010392515294e+02,7.955856616116227542e+02
8.537477068313148720e+02,9.702675511133771806e+02,8.537477068313148720e+02
7.730451699191711441e+02,9.594317422128173121e+02,7.730451699191711441e+02
7.004191549155214034e+02,7.687644956812324608e+02,7.004191549155214034e+02
8.795730436976404008e+02,7.850662232393362956e+02,8.795730436976404008e+02
7.883633158847108007e+02,1.008702661199212571e+03,7.883633158847108007e+02
7.688088018973462567e+02,9.272139526501379123e+02,7.688088018973462567e+02
7.985829497457597199e+02,8.379578924069346613e+02,7.985829497457597199e+02
7.945308739043588275e+02,9.226137613315823955e+02,7.945308739043588275e+02
8.763412651626298384e+02,9.863593599547223221e+02,8.763412651626298384e+02
8.799739991328015094e+02,9.318136278145980214e+02,8.799739991328015094e+02
8.591544002129478486e+02,9.103109296242705568e+02,8.591544002129478486e+02
8.511156616058311783e+02,9.086260339527984797e+02,8.511156616058311783e+02
7.739907397648449887e+02,8.159161183951910061e+02,7.739907397648449887e+02
7.898835066540079879e+02,7.744524879381478968e+02,7.898835066540079879e+02
7.195396368512871277e+02,8.667504781615389220e+02,7.195396368512871277e+02
7.651863710702282333e+02,8.264133432710807483e+02,7.651863710702282333e+02
7.402692682330201706e+02,8.985212244970223310e+02,7.402692682330201706e+02
8.128022213981487312e+02,9.286321582719941716e+02,8.128022213981487312e+02
8.857526942552016180e+02,8.353616176055961660e+02,8.857526942552016180e+02
7.535693157864936893e+02,9.694212562627858460e+02,7.535693157864936893e+02
7.645411694874139812e+02,9.325949439030968051e+02,7.645411694874139812e+02
7.774724599981573192e+02,9.744374064448741137e+02,7.774724599981573192e+02
7.863107147089880300e+02,8.511811363758764628e+02,7.863107147089880300e+02
8.434154398084988316e+02,8.791065038931535582e+02,8.434154398084988316e+02
7.832999958996495025e+02,8.607605185893498856e+02,7.832999958996495025e+02
8.282553948917498019e+02,9.345745004933612563e+02,8.282553948917498019e+02
8.960946731873532372e+02,9.126326720221399000e+02,8.960946731873532372e+02
8.938560153572327636e+02,8.942640171358003727e+02,8.938560153572327636e+02
8.247488369654108737e+02,9.016982231894352253e+02,8.247488369654108737e+02
8.475299322696304216e+02,9.426998748270106034e+02,8.475299322696304216e+02
8.376982916713138820e+02,9.085718491928161029e+02,8.376982916713138820e+02
7.752674587652873015e+02,8.490816850410952839e+02,7.752674587652873015e+02
8.682020375139263706e+02,9.065545388210100555e+02,8.682020375139263706e+02
8.442608372262653802e+02,8.502222249315472027e+02,8.442608372262653802e+02
7.536678824710631943e+02,8.593425383843464260e+02,7.536678824710631943e+02
9.221344452661296600e+02,9.273836496873979058e+02,9.221344452661296600e+02
8.889631094744879647e+02,8.632324321337821402e+02,8.889631094744879647e+02
7.890392377550793981e+02,9.433115116835712115e+02,7.890392377550793981e+02
9.256307370399338197e+02,8.985463608554011898e+02,9.256307370399338197e+02
8.583689976835203197e+02,8.614592044214459747e+02,8.583689976835203197e+02
8.518858469040867476e+02,8.268318242976941974e+02,8.518858469040867476e+02
8.481504531951419494e+02,8.111998935713689889e+02,8.481504531951419494e+02
7.254064242886347529e+02,9.198678187956481906e+02,7.254064242886347529e+02
9.540310867412351854e+02,9.406258663478240578e+02,9.540310867412351854e+02
8.017003999376217962e+02,1.005592738222721096e+03,8.017003999376217962e+02
8.576011332449744486e+02,9.448037143642043247e+02,8.576011332449744486e+02
9.803284288525453576e+02,8.039455362903182731e+02,9.803284288525453576e+02
8.282015597482500198e+02,9.885648348299417876e+02,8.282015597482500198e+02
8.602601298310096354e+02,9.768959692200888867e+02,8.602601298310096354e+02
9.250872769542746710e+02,8.356379644861290217e+02,9.250872769542746710e+02
8.971505677653827888e+02,8.604910859543790593e+02,8.971505677653827888e+02
8.212083736124277493e+02,8.471147607222649185e+02,8.212083736124277493e+02
8.783954790680176075e+02,1.004688365238919005e+03,8.783954790680176075e+02
7.596748222225314748e+02,8.785743276237319606e+02,7.596748222225314748e+02
7.794530674868719871e+02,9.034617486552721175e+02,7.794530674868719871e+02
8.700407899412474535e+02,9.245822865484409476e+02,8.700407899412474535e+02
8.662805766459335928e+02,8.458918359063675325e+02,8.662805766459335928e+02
8.480059984863828504e+02,9.432593288718528584e+02,8.480059984863828504e+02
9.263062976865994642e+02,8.396370600981896359e+02,9.263062976865994642e+02
8.071422286399575796e+02,9.355972798734039770e+02,8.071422286399575796e+02
7.979784034354338473e+02,9.142329146697409215e+02,7.979784034354338473e+02
8.259111814391021653e+02,9.843100556162600014e+02,8.259111814391021653e+02
9.004727563489469730e+02,1.041275440100301012e+03,9.004727563489469730e+02
7.949814223290338759e+02,8.061929994155634631e+02,7.949814223290338759e+02
7.136585549031163964e+02,8.894370788173728215e+02,7.136585549031163964e+02
9.035675598035600160e+02,8.806441326345020570e+02,9.035675598035600160e+02
8.311617608020001171e+02,9.318780402040257513e+02,8.311617608020001171e+02
7.784400481321529242e+02,8.791157973151216538e+02,7.784400481321529242e+02
8.811805064406884185e+02,8.806139301768250789e+02,8.811805064406884185e+02
9.003918995409325134e+02,8.099924095888605962e+02,9.003918995409325134e+02
9.464627284742928168e+02,8.523534512696202228e+02,9.464627284742928168e+02
8.027373639445445406e+02,8.789419226955008071e+02,8.027373639445445406e+02
7.571589088003527195e+02,9.422392829764455655e+02,7.571589088003527195e+02
7.879034663919750301e+02,8.803888585619640708e+02,7.879034663919750301e+02
8.986234291761926443e+02,8.785489212654413222e+02,8.986234291761926443e+02
7.952641567652756294e+02,7.341717607629927898e+02,7.952641567652756294e+02
8.807074167744267470e+02,9.489123130480863892e+02,8.807074167744267470e+02
7.481268318088590377e+02,9.243488618823464549e+02,7.481268318088590377e+02
8.444693280723320186e+02,8.564601055376986096e+02,8.444693280723320186e+02
8.293566922643176440e+02,8.651871116866569764e+02,8.293566922643176440e+02
7.262351029262271140e+02,8.825611846984430713e+02,7.262351029262271140e+02
8.659682928582512886e+02,8.352521767925798031e+02,8.659682928582512886e+02
8.193287431423872249e+02,8.828909633544615190e+02,8.193287431423872249e+02
8.176658284824475231e+02,8.798284607399457400e+02,8.176658284824475231e+02
7.814971149753590680e+02,9.761279346295297046e+02,7.814971149753590680e+02
8.210295726975116395e+02,8.539322685019150185e+02,8.210295726975116395e+02
7.569998622951187599e+02,8.970931610561018488e+02,7.569998622951187599e+02
7.911518150292885139e+02,8.080509066057093150e+02,7.911518150292885139e+02
8.337012439417813994e+02,8.284173842630668787e+02,8.337012439417813994e+02
9.020564504615892929e+02,9.978006414518863494e+02,9.020564504615892929e+02
8.085118054590961947e+02,8.680666423815715689e+02,8.085118054590961947e+02
7.965189743225048460e+02,9.654200060776221335e+02,7.965189743225048460e+02
8.786040225472138445e+02,8.460101837190815104e+02,8.786040225472138445e+02
7.380487645651527373e+02,9.295655648798946231e+02,7.380487645651527373e+02
8.463086284099741761e+02,9.447580473527708591e+02,8.463086284099741761e+02
8.117580281354254339e+02,9.156372670698671072e+02,8.117580281354254339e+02
8.325604915394068257e+02,9.225133071605401938e+02,8.325604915394068257e+02
9.582164843551450986e+02,9.248837930743450215e+02,9.582164843551450986e+02
9.183708737176359591e+02,8.229110688935837743e+02,9.183708737176359591e+02
9.452345855091514295e+02,9.050804851566529123e+02,9.452345855091514295e+02
8.678188890868367480e+02,8.217818583381385906e+02,8.678188890868367480e+02
8.173721331014085081e+02,9.297242456076222652e+02,8.173721331014085081e+02
8.206101986646666546e+02,9.832122361828731982e+02,8.206101986646666546e+02
8.199287967138287740e+02,9.498798348006744163e+02,8.199287967138287740e+02
9.112903777974029254e+02,8.657898682241550432e+02,9.112903777974029254e+02
7.712818197435856291e+02,8.376518616664112642e+02,7.712818197435856291e+02
8.721341694406756915e+02,9.135202281858842071e+02,8.721341694406756915e+02
8.277010568154115617e+02,6.901831760888806002e+02,8.277010568154115617e+02
7.490101304378474651e+02,9.778251483092544731e+02,7.490101304378474651e+02
8.018313261230898661e+02,8.909517194122017827e+02,8.018313261230898661e+02
8.414024316453986785e+02,8.677622541738210202e+02,8.414024316453986785e+02
8.485472908447147802e+02,8.349595249133103607e+02,8.485472908447147802e+02
8.245071992614175542e+02,8.569885397565445828e+02,8.245071992614175542e+02
8.460505176543989592e+02,7.684148889833151088e+02,8.460505176543989592e+02
8.850097424007448126e+02,7.920725095347058868e+02,8.850097424007448126e+02
7.858707764899761514e+02,9.104891503099900092e+02,7.858707764899761514e+02
9.090117005874500364e+02,8.746725786570530090e+02,9.090117005874500364e+02
6.702388647188748791e+02,9.637561595793445122e+02,6.702388647188748791e+02
7.580378065408465318e+02,8.882621872769898346e+02,7.580378065408465318e+02
9.346543847023189073e+02,7.816994698539125466e+02,9.346543847023189073e+02
7.829799833411295822e+02,8.928750615074459347e+02,7.829799833411295822e+02
8.029485392665013705e+02,8.201469794200691013e+02,8.029485392665013705e+02
9.486543434954888880e+02,8.246076670330398883e+02,9.486543434954888880e+02
9.172746012998004517e+02,1.000267683723249320e+03,9.172746012998004517e+02
8.158742109236043234e+02,9.427401681558270639e+02,8.158742109236043234e+02
8.065898670400728179e+02,9.013204300438300152e+02,8.065898670400728179e+02
7.091784680004777783e+02,9.338213109759381041e+02,7.091784680004777783e+02
8.479165260623540235e+02,9.551866045361587112e+02,8.479165260623540235e+02
8.416717522412396875e+02,8.761196763970519896e+02,8.416717522412396875e+02
7.253790128188786639e+02,9.126111602471105471e+02,7.253790128188786639e+02
8.561845115858969848e+02,6.710705996908457109e+02,8.561845115858969848e+02
8.600943024614057322e+02,9.182921591801493832e+02,8.600943024614057322e+02
7.944272429428119722e+02,1.001556054964806435e+03,7.944272429428119722e+02
8.657888949902732065e+02,9.898360245257007364e+02,8.657888949902732065e+02
8.175966453482581073e+02,7.965935542522203150e+02,8.175966453482581073e+02
8.337823682642883796e+02,8.250475390055353273e+02,8.337823682642883796e+02
9.358287252814221802e+02,8.795833969057392778e+02,9.358287252814221802e+02
7.809282625704980774e+02,9.233179140595925674e+02,7.809282625704980774e+02
8.171120458927341588e+02,7.477872034794531828e+02,8.171120458927341588e+02
8.932822472956501088e+02,1.035618547384924796e+03,8.932822472956501088e+02
7.756126668770447168e+02,9.174588195688683072e+02,7.756126668770447168e+02
8.422264468289334900e+02,8.792048905816945989e+02,8.422264468289334900e+02
7.599360058600385628e+02,9.560435097857296114e+02,7.599360058600385628e+02
7.615613184850237758e+02,9.047787343967138440e+02,7.615613184850237758e+02
7.585985148482524210e+02,9.177168579325405062e+02,7.585985148482524210e+02
8.387220182978650200e+02,8.038568166895975082e+02,8.387220182978650200e+02
7.485821111762888904e+02,9.148283987910988344e+02,7.485821111762888904e+02
8.606168139418170995e+02,9.235673893196872086e+02,8.606168139418170995e+02
8.365120928051543387e+02,8.683397171628935212e+02,8.365120928051543387e+02
8.104956347373999961e+02,9.632235943678208514e+02,8.104956347373999961e+02
9.215517000755476147e+02,9.470682906455217562e+02,9.215517000755476147e+02
8.001691411394897386e+02,9.323672738740654040e+02,8.001691411394897386e+02
7.851135138369545530e+02,8.952519200292921369e+02,7.851135138369545530e+02
8.774353517680418690e+02,8.993941975041348087e+02,8.774353517680418690e+02
8.511261582300400050e+02,8.618759561260351347e+02,8.511261582300400050e+02
7.472857289701244099e+02,9.148257180344440940e+02,7.472857289701244099e+02
8.684324243399935312e+02,9.234941254156713057e+02,8.684324243399935312e+02
7.472630594439095830e+02,9.322359199148586413e+02,7.472630594439095830e+02
8.235378332027630677e+02,9.867757746790359761e+02,8.235378332027630677e+02
8.011879011420045344e+02,8.433207803787516923e+02,8.011879011420045344e+02
8.949576477411878841e+02,8.032034928151723534e+02,8.949576477411878841e+02
7.946534927735119709e+02,8.226682307884757392e+02,7.946534927735119709e+02
8.154406122205273277e+02,1.018175743045753734e+03,8.154406122205273277e+02
9.214803318180477163e+02,8.980001863311915713e+02,9.214803318180477163e+02
8.061010617552261692e+02,9.247671591989628723e+02,8.061010617552261692e+02
7.921784322899666222e+02,1.029635846251760313e+03,7.921784322899666222e+02
